time,cid,rule,direction,bars,pnl_R,exit
2024-12-12 20:30:00,2,R0g_inside_break,1,60,-0.769446653257872,max
2024-12-12 21:25:00,1,R0g_inside_break,1,60,-2.8639415008391493,max
2024-12-12 21:50:00,1,R0h_3bar_reversal,1,60,-2.4097180351126233,max
2024-12-13 00:00:00,1,R0g_inside_break,1,19,-4.058370102599552,hard_sl
2024-12-14 20:55:00,0,R0h_3bar_reversal,1,60,10.798726114649702,max
2024-12-14 21:00:00,0,R0g_inside_break,1,60,7.11273902504711,max
2024-12-15 07:10:00,0,R3a_pullback,1,59,14.573179396092442,ml_exit
2024-12-16 02:25:00,1,R3b_higherlow,1,60,2.3788214443952493,max
2024-12-16 03:45:00,1,R3e_false_breakdown,1,60,0.9714932446771531,max
2024-12-16 12:50:00,1,R3e_false_breakdown,1,60,13.550813311446053,max
2024-12-16 19:05:00,1,R3b_higherlow,1,60,-2.0596272079633122,max
2024-12-16 21:10:00,1,R3e_false_breakdown,1,60,2.6649990619723503,max
2024-12-16 22:55:00,1,R3e_false_breakdown,1,59,7.265548194058615,ml_exit
2024-12-17 14:25:00,3,R1c_bouncefade,-1,60,6.932179529645595,max
2024-12-17 18:25:00,3,R1f_sma_reject,-1,60,3.8683051101453816,max
2024-12-18 01:05:00,3,R1e_false_breakout,-1,60,11.762154599510326,max
2024-12-18 02:45:00,3,R1g_three_red,-1,60,4.652402538531257,max
2024-12-18 17:40:00,3,R1e_false_breakout,-1,60,16.547402617686487,max
2024-12-19 00:15:00,4,R1b_lowerhigh,-1,60,-1.5259530173020353,max
2024-12-19 03:35:00,4,R1a_swinghigh,-1,60,-1.4050824383603118,max
2024-12-19 05:15:00,4,R1e_false_breakout,-1,60,-4.313541117821104,hard_sl
2024-12-19 21:35:00,4,R1e_false_breakout,-1,60,0.7568780199191303,max
2024-12-20 04:30:00,4,R1c_bouncefade,-1,59,10.446283478784277,ml_exit
2024-12-20 04:35:00,4,R1e_false_breakout,-1,59,8.998910194103301,ml_exit
2024-12-20 09:50:00,4,R3a_pullback,1,20,-4.907778346370321,hard_sl
2024-12-20 11:25:00,4,R3e_false_breakdown,1,59,10.092717306186392,ml_exit
2024-12-20 11:35:00,4,R3a_pullback,1,59,9.591517480867152,ml_exit
2024-12-20 12:15:00,4,R3e_false_breakdown,1,59,7.243101722323461,ml_exit
2024-12-21 18:05:00,3,R1e_false_breakout,-1,60,2.46369930761621,max
2024-12-23 01:40:00,2,R1a_swinghigh,-1,29,-4.242562729864402,hard_sl
2024-12-23 03:15:00,2,R1a_swinghigh,-1,60,0.1015698929949093,max
2024-12-24 18:30:00,1,R3d_oversold,1,28,-4.08217273533567,hard_sl
2024-12-24 20:05:00,1,R3a_pullback,1,60,2.777272884942209,max
2024-12-25 23:15:00,3,R1e_false_breakout,-1,60,3.8928199390408293,max
2024-12-25 23:25:00,3,R1d_overbought,-1,8,-4.3192624199938905,hard_sl
2024-12-26 00:10:00,3,R1d_overbought,-1,60,8.803158181323134,max
2024-12-26 00:45:00,3,R1f_sma_reject,-1,60,3.6649912946354735,max
2024-12-26 01:10:00,3,R1g_three_red,-1,60,1.370484697228373,max
2024-12-26 02:45:00,3,R1g_three_red,-1,60,3.3383834313804623,max
2024-12-27 09:15:00,3,R1c_bouncefade,-1,60,1.8500424088210263,max
2024-12-27 09:55:00,3,R1h_close_streak,-1,60,3.465941883095083,max
2024-12-30 17:20:00,0,R3i_inside_break,1,60,1.294893473114643,max
2024-12-31 01:30:00,0,R3a_pullback,1,60,3.3631637122855866,max
2024-12-31 04:00:00,0,R3i_inside_break,1,60,9.73802928373548,max
2025-01-01 15:55:00,0,R3i_inside_break,1,15,-4.336651877502476,hard_sl
2025-01-01 16:50:00,0,R3a_pullback,1,60,6.875297351588529,max
2025-01-03 17:25:00,1,R0c_doubletouch,-1,60,-1.208136098918446,max
2025-01-03 19:25:00,1,R0c_doubletouch,-1,60,3.5660020824495695,max
2025-01-05 20:10:00,0,R3i_inside_break,1,60,-0.37683424502909313,max
2025-01-05 20:15:00,0,R3g_three_green,1,59,-4.05004191655395,hard_sl
2025-01-05 21:00:00,0,R3i_inside_break,1,60,4.133082744958618,max
2025-01-05 21:50:00,0,R3i_inside_break,1,41,-4.597447718313721,hard_sl
2025-01-06 01:00:00,0,R3a_pullback,1,60,8.94670700488707,max
2025-01-06 03:00:00,0,R3b_higherlow,1,60,2.7588618355628376,max
2025-01-06 03:25:00,0,R3g_three_green,1,60,1.7916572919948328,max
2025-01-06 03:55:00,0,R3d_oversold,1,60,0.08310797440802185,max
2025-01-06 10:55:00,0,R3e_false_breakdown,1,59,34.02644650288631,ml_exit
2025-01-06 16:10:00,3,R1e_false_breakout,-1,59,-0.32067414190779375,ml_exit
2025-01-06 18:45:00,3,R1f_sma_reject,-1,59,-2.3354594518819463,ml_exit
2025-01-06 20:05:00,3,R1e_false_breakout,-1,60,0.8105330764290051,max
2025-01-06 22:00:00,3,R1g_three_red,-1,29,-4.762868269556349,hard_sl
2025-01-07 12:05:00,3,R1d_overbought,-1,60,18.95055973865599,max
2025-01-07 21:10:00,3,R1e_false_breakout,-1,60,-0.5622489959839366,max
2025-01-07 21:30:00,3,R1a_swinghigh,-1,60,-0.2923173016864334,max
2025-01-08 15:05:00,1,R1a_swinghigh,-1,60,5.057866750078202,max
2025-01-08 18:30:00,2,R1c_bouncefade,-1,60,-1.0347268303472388,max
2025-01-08 22:30:00,3,R1e_false_breakout,-1,60,3.056338028169006,max
2025-01-10 15:20:00,2,R0g_inside_break,1,60,2.6023790109837384,max
2025-01-12 13:30:00,3,R0e_nr4_break,-1,21,-5.279989205235368,hard_sl
2025-01-12 17:00:00,3,R1e_false_breakout,-1,60,7.188120176405876,max
2025-01-12 21:40:00,3,R1g_three_red,-1,33,-7.2115488397193195,hard_sl
2025-01-12 23:05:00,3,R1f_sma_reject,-1,16,-6.219978953112187,hard_sl
2025-01-12 23:45:00,3,R1e_false_breakout,-1,8,-4.8661305371662715,hard_sl
2025-01-13 00:00:00,4,R1a_swinghigh,-1,5,-5.009523809523907,hard_sl
2025-01-13 00:35:00,4,R1c_bouncefade,-1,60,7.409854276939258,max
2025-01-13 00:40:00,4,R1d_overbought,-1,60,5.990415432984396,max
2025-01-13 04:30:00,2,R1c_bouncefade,-1,60,12.764723806207217,ml_exit
2025-01-13 16:25:00,0,R3a_pullback,1,60,4.967408598094011,max
2025-01-13 17:00:00,0,R3e_false_breakdown,1,60,8.016726542279889,max
2025-01-13 18:30:00,0,R3i_inside_break,1,60,6.555546614090905,max
2025-01-13 20:30:00,0,R3f_sma_bounce,1,60,7.959466481898539,max
2025-01-13 20:40:00,0,R3g_three_green,1,60,5.889942431425704,max
2025-01-13 21:25:00,0,R3i_inside_break,1,60,3.9145225843339158,max
2025-01-14 16:30:00,0,R3a_pullback,1,60,1.5030000189275599,max
2025-01-14 18:25:00,0,R3i_inside_break,1,60,-0.34072044483839115,max
2025-01-15 11:10:00,0,R3a_pullback,1,60,26.02965837433351,ml_exit
2025-01-15 13:45:00,0,R3i_inside_break,1,60,1.0799407677412192,max
2025-01-15 20:30:00,2,R0c_doubletouch,-1,60,0.16941380276666737,max
2025-01-16 09:20:00,0,R0c_doubletouch,1,60,1.5030979734090542,max
2025-01-16 11:20:00,0,R0f_mean_revert,1,40,-4.668060950104686,hard_sl
2025-01-16 15:50:00,0,R3e_false_breakdown,1,60,4.262620110975815,max
2025-01-17 16:20:00,2,R0h_3bar_reversal,-1,60,-0.9065393518518614,max
2025-01-18 08:10:00,0,R0h_3bar_reversal,1,60,3.2321741067166636,max
2025-01-18 09:15:00,0,R0e_nr4_break,1,60,5.210230142125406,max
2025-01-18 10:20:00,0,R0h_3bar_reversal,1,60,6.349434082576127,max
2025-01-18 14:25:00,2,R0h_3bar_reversal,-1,60,0.3936911602885484,max
2025-01-18 15:55:00,2,R0h_3bar_reversal,-1,60,2.3881533311216288,max
2025-01-19 02:45:00,1,R0g_inside_break,-1,60,0.21334796741106565,max
2025-01-19 22:10:00,4,R3e_false_breakdown,1,12,-4.258543270677106,hard_sl
2025-01-19 22:40:00,4,R3b_higherlow,1,7,-4.106515354086178,hard_sl
2025-01-20 00:40:00,4,R3e_false_breakdown,1,60,2.1556863489652525,max
2025-01-23 17:15:00,1,R3i_inside_break,1,60,-1.890016199164457,max
2025-01-26 23:50:00,4,R1d_overbought,-1,60,6.315737620933571,max
2025-01-27 00:10:00,4,R1b_lowerhigh,-1,60,6.1292974588938725,max
2025-01-27 01:40:00,4,R1b_lowerhigh,-1,60,7.053206002728452,max
2025-01-27 03:20:00,4,R1a_swinghigh,-1,60,8.080828338891283,max
2025-01-27 03:30:00,4,R1c_bouncefade,-1,60,9.748803578859635,max
2025-01-27 09:05:00,4,R1e_false_breakout,-1,46,-4.413471528851248,hard_sl
2025-01-27 11:25:00,4,R1d_overbought,-1,18,-4.658227848101232,hard_sl
2025-01-28 02:55:00,1,R3c_breakpullback,1,60,1.8417557396748947,max
2025-01-29 13:10:00,0,R0c_doubletouch,1,60,0.9531810623961116,max
2025-01-29 14:05:00,0,R0c_doubletouch,1,60,0.045652173912985865,max
2025-01-29 20:40:00,1,R3c_breakpullback,1,60,0.07486132682493446,max
2025-01-29 21:45:00,1,R3b_higherlow,1,60,0.9708197667229869,max
2025-01-31 01:30:00,1,R0c_doubletouch,1,21,-4.219885760501362,hard_sl
2025-01-31 02:35:00,1,R0c_doubletouch,1,60,0.2002772002772611,max
2025-01-31 03:35:00,1,R0c_doubletouch,1,60,-0.17477344183465734,max
2025-01-31 15:40:00,3,R0f_mean_revert,-1,60,11.850483537976672,max
2025-01-31 18:25:00,3,R1g_three_red,-1,60,8.446614450886573,max
2025-01-31 18:55:00,3,R1h_close_streak,-1,60,0.5366318204445756,max
2025-02-01 17:15:00,3,R1e_false_breakout,-1,60,10.847561321021837,max
2025-02-02 18:25:00,4,R2d_continuation,1,60,-1.8662745026398118,max
