thr,killed,killed_pct,WR,PF,R,DD,ΔR,sl_save,win_dmg
0.5,569,0.432,0.4666,2.32,2181.6,-55.5,-483.4,684.3,-1137.2
0.6,463,0.351,0.5106,2.29,2303.7,-68.0,-361.2,502.5,-816.4
0.7,326,0.247,0.5455,2.31,2454.5,-53.7,-210.4,324.1,-500.2
0.8,173,0.131,0.5736,2.35,2576.8,-58.4,-88.1,156.5,-227.2
0.9,26,0.02,0.5941,2.35,2630.4,-62.6,-34.5,20.7,-51.3
