thr,killed,killed_pct,WR,PF,R,DD,ΔR,sl_save,win_dmg
0.5,535,0.439,0.4721,1.99,1561.8,-47.9,-335.7,700.3,-971.7
0.6,389,0.319,0.5049,1.91,1653.5,-56.6,-244.0,425.6,-576.7
0.7,246,0.202,0.5352,1.95,1799.2,-56.5,-98.3,225.8,-251.4
0.8,113,0.093,0.559,2.0,1909.5,-66.7,11.9,96.9,-52.4
0.9,36,0.03,0.5631,1.96,1879.6,-72.1,-18.0,21.5,-22.3
