thr,n,kept_pct,WR,PF,R,DD,R/trade,ΔWR_pp,ΔPF,ΔR
0.2,792,0.3,0.841,0.62,-206.0,-203.9,-0.26,26.7,-1.62,-5299.0
0.25,418,0.159,0.842,0.61,-113.3,-122.2,-0.271,26.8,-1.63,-5206.2
0.3,240,0.091,0.854,0.64,-56.8,-70.6,-0.237,28.0,-1.59,-5149.7
0.35,136,0.052,0.853,0.61,-36.5,-44.4,-0.269,27.9,-1.62,-5129.5
0.4,86,0.033,0.849,0.7,-16.0,-23.0,-0.186,27.5,-1.54,-5108.9
