feature,coef
spx_ret_24h,0.7304322926095698
tnx_ret_24h_z,-0.6313748912239897
vix_ret_24h_z,0.5574480189318621
spx_ret_24h_z,-0.5534688286394102
eur_ret_24h_z,-0.41493110143650835
vix_ret_24h,-0.40563105930078597
uup_ret_4h,0.3336423463976054
eur_ret_4h,-0.2828184149093582
eur_ret_24h,0.2796262897896207
uup_ret_24h_z,0.216691280158424
tnx_ret_24h,0.18672422947101583
uup_ret_1h,-0.15877372127549566
vix_ret_4h,0.0976522275960581
spx_ret_1h,-0.08489352274601188
tnx_ret_4h,0.06383752450312397
uup_ret_24h,-0.03927498196595595
tnx_ret_1h,-0.030701604021900083
eur_ret_1h,-0.0292798623621699
vix_ret_1h,-0.021998554860888114
spx_ret_4h,0.013615863031315551
