thr,kept,gate_PF,null_mean,null_95,p_value,kept_R,ΔR
0.5,575,2.822,3.497,3.984,0.9966,1323.2,-2494.2
0.55,417,3.38,3.507,4.156,0.6152,1105.3,-2712.1
0.6,289,2.991,3.519,4.333,0.8734,668.9,-3148.4
0.65,199,3.281,3.547,4.595,0.6372,488.7,-3328.6
0.7,139,3.167,3.58,4.963,0.6926,338.7,-3478.6
0.75,83,4.639,3.652,5.602,0.158,253.9,-3563.5
