thr,kept,skipped,hsl_caught,winners_killed,WR,PF,R,ΔR,ΔWR_pp
0.2,422,262,69,166,0.6991,4.41,1368.9,-615.7,2.5
0.3,513,171,56,97,0.7096,4.65,1719.9,-264.6,3.6
0.4,570,114,38,65,0.6947,4.27,1820.0,-164.5,2.1
0.5,602,82,28,47,0.6877,4.13,1901.7,-82.8,1.4
0.6,638,46,17,26,0.6818,3.92,1934.9,-49.6,0.8
0.7,661,23,12,10,0.6823,3.89,1983.6,-0.9,0.8
