thr,kept,skipped,hsl_caught,winners_killed,WR,PF,R,ΔR,ΔWR_pp
0.2,414,806,258,438,0.6111,2.81,916.0,-981.6,4.5
0.3,634,586,202,311,0.5994,2.57,1308.2,-589.4,3.3
0.4,810,410,134,219,0.5827,2.2,1421.8,-475.8,1.6
0.5,974,246,93,122,0.5842,2.2,1715.1,-182.4,1.8
0.6,1067,153,59,76,0.5764,2.08,1744.0,-153.5,1.0
0.7,1162,58,26,29,0.5697,2.03,1836.7,-60.9,0.3
