scheme,R,PF,maxDD,avg_lot,R_per_lot
baseline_1.0,4355.0,2.301,-79.6,1.0,4354.981
A_linear,4269.8,2.317,-79.4,0.967,2.006
B_stepped,3634.8,2.332,-93.8,0.818,2.02
C_aggressive,3443.1,2.322,-96.4,0.776,2.017
D_topheavy,4515.7,2.374,-123.1,0.993,2.067
