guard_R,n,WR,PF,R,DD,ΔWR_pp,ΔPF,ΔR,fired_pct
0.5,1367,0.8778,0.903,-64.3,-120.3,22.5,-2.58,-3881.6,0.875
0.75,1367,0.8493,1.093,73.4,-72.4,19.6,-2.39,-3743.9,0.842
1.0,1367,0.8244,1.256,227.4,-66.9,17.1,-2.23,-3589.9,0.811
1.25,1367,0.7966,1.377,367.7,-58.4,14.3,-2.1,-3449.6,0.779
1.5,1367,0.7776,1.492,516.6,-48.4,12.4,-1.99,-3300.7,0.756
1.75,1367,0.7564,1.582,646.0,-48.4,10.3,-1.9,-3171.4,0.722
2.0,1367,0.7425,1.656,772.8,-53.4,8.9,-1.83,-3044.6,0.693
2.5,1367,0.7228,1.827,1047.0,-61.6,6.9,-1.65,-2770.3,0.642
3.0,1367,0.7103,2.001,1324.9,-64.6,5.7,-1.48,-2492.4,0.601
