rule,n,wr,pf,ev_R,n_long,long_wr,n_short,short_wr
06_transfer_entropy,15435,0.19643666990605765,0.7333709581827146,-0.42850664075153877,8173,0.20066071210081976,7262,0.19168273202974387
08_wavelet_energy,106412,0.19213998421230688,0.713514644883288,-0.46288012630154496,55302,0.1984195869950454,51110,0.18534533359420857
02_ou_reversion,7066,0.18964053212567222,0.70206077497723,-0.4828757429946222,3252,0.17927429274292742,3814,0.1984792868379654
04_kramers_escape,15030,0.18875582168995342,0.6980234556511402,-0.48995342648037266,9677,0.20274878578071717,5353,0.16345974220063517
03_entropy_drop,5061,0.18770993874728314,0.6932619796267819,-0.49832049002173484,2612,0.16921898928024504,2449,0.2074316047366272
01_hurst_transition,10,0.1,0.33333333314814817,-1.2,6,0.0,4,0.25
05_levy_jump,2,0.0,0.0,-2.0,1,0.0,1,0.0
