base,label,model,thr,trades,per_day,profWk,nWk,totSumR,medPF,worstWk,meets
pb1.5,barT1.5S1H60,clf,0.4923,88175,57.22,0,12,-23604.6,0.646,-2154.0,0
pb1.5,barT1.5S1H60,clf,0.5231,52376,33.99,0,12,-13710.6,0.661,-1332.1,0
pb1.5,barT1.5S1H60,clf,0.5538,20173,13.09,0,12,-5213.1,0.653,-573.5,1
pb1.5,barT1.5S1H60,clf,0.5846,6736,4.37,0,12,-1741.3,0.659,-247.3,0
pb1.5,barT1.5S1H60,clf,0.6154,2356,1.53,0,12,-539.2,0.668,-90.4,0
pb1.5,barT1.5S1H60,clf,0.6462,817,0.53,2,12,-182.8,0.683,-42.6,0
pb1.5,barT1.5S1H60,clf,0.6769,279,0.18,3,12,-51.9,0.732,-14.7,0
pb1.5,barT1.5S1H60,clf,0.7077,81,0.05,2,12,-12.9,0.968,-5.4,0
pb1.5,barT1.5S1H60,clf,0.7385,21,0.01,0,12,-9.2,0.645,-3.9,0
pb1.5,barT1.5S1H60,clf,0.7692,2,0.0,0,12,-2.5,0.0,-2.5,0
pb1.5,barT1.5S1H60,clf,0.8,0,0.0,0,12,0.0,0,0.0,0
pb1.5,trailSL4T2,reg,-0.1137,30368,19.71,9,12,2048.7,1.06,-172.1,1
pb1.5,trailSL4T2,reg,-0.0553,29791,19.33,9,12,1990.3,1.052,-101.1,1
pb1.5,trailSL4T2,reg,-0.0018,29144,18.91,11,12,2351.6,1.053,-20.4,1
pb1.5,trailSL4T2,reg,0.0491,28400,18.43,9,12,2285.0,1.047,-98.9,1
pb1.5,trailSL4T2,reg,0.099,27527,17.86,10,12,2062.4,1.042,-82.3,1
pb1.5,trailSL4T2,reg,0.1491,26431,17.15,10,12,2013.6,1.046,-85.8,1
pb1.5,trailSL4T2,reg,0.2009,25190,16.35,9,12,1912.1,1.039,-50.0,1
pb1.5,trailSL4T2,reg,0.2555,23786,15.44,10,12,2028.9,1.027,-12.6,1
pb1.5,trailSL4T2,reg,0.3157,22057,14.31,8,12,1611.0,1.044,-202.4,1
pb1.5,trailSL4T2,reg,0.3836,20018,12.99,9,12,1270.4,1.026,-183.1,1
pb1.5,trailSL4T2,reg,0.4661,17434,11.31,8,12,1002.1,1.053,-326.6,1
pb1.5,trailSL4T2,reg,0.5727,14172,9.2,10,12,1138.0,1.085,-258.1,0
pb1.5,trailSL4T2,reg,0.7351,9990,6.48,8,12,368.4,1.032,-179.0,0
pb1.5,trailSL4T2,reg,1.1186,4247,2.76,7,12,163.7,1.053,-119.7,0
rsi_revert,barT1.5S1H60,clf,0.4,70834,45.97,0,12,-17652.3,0.675,-1738.9,0
rsi_revert,barT1.5S1H60,clf,0.4308,69413,45.04,0,12,-17347.9,0.676,-1719.5,0
rsi_revert,barT1.5S1H60,clf,0.4615,64503,41.86,0,12,-15985.1,0.679,-1553.5,0
rsi_revert,barT1.5S1H60,clf,0.4923,50344,32.67,0,12,-12290.0,0.679,-1232.4,0
rsi_revert,barT1.5S1H60,clf,0.5231,28661,18.6,0,12,-6714.0,0.687,-755.9,1
rsi_revert,barT1.5S1H60,clf,0.5538,13129,8.52,0,12,-3062.2,0.689,-389.5,0
rsi_revert,barT1.5S1H60,clf,0.5846,5799,3.76,0,12,-1199.8,0.695,-163.3,0
rsi_revert,barT1.5S1H60,clf,0.6154,2516,1.63,0,12,-561.8,0.675,-78.3,0
rsi_revert,barT1.5S1H60,clf,0.6462,1135,0.74,1,12,-281.3,0.671,-65.6,0
rsi_revert,barT1.5S1H60,clf,0.6769,499,0.32,3,12,-131.5,0.686,-40.8,0
rsi_revert,barT1.5S1H60,clf,0.7077,241,0.16,1,12,-80.1,0.616,-19.2,0
rsi_revert,barT1.5S1H60,clf,0.7385,106,0.07,2,12,-29.5,0.484,-9.0,0
rsi_revert,barT1.5S1H60,clf,0.7692,49,0.03,2,12,-14.6,0.424,-6.5,0
rsi_revert,barT1.5S1H60,clf,0.8,19,0.01,1,12,-0.1,0.968,-2.5,0
rsi_revert,trailSL4T2,reg,-0.1205,29867,19.38,10,12,2318.6,1.047,-154.3,1
rsi_revert,trailSL4T2,reg,-0.0614,28933,18.78,11,12,2545.4,1.05,-113.4,1
rsi_revert,trailSL4T2,reg,-0.0067,27898,18.1,10,12,2463.4,1.045,-185.1,1
rsi_revert,trailSL4T2,reg,0.0462,26725,17.34,10,12,2331.1,1.054,-87.1,1
rsi_revert,trailSL4T2,reg,0.0972,25403,16.48,9,12,2358.6,1.047,-85.9,1
rsi_revert,trailSL4T2,reg,0.1485,23948,15.54,10,12,2201.4,1.056,-45.0,1
rsi_revert,trailSL4T2,reg,0.2019,22262,14.45,9,12,2016.5,1.059,-131.3,1
rsi_revert,trailSL4T2,reg,0.2583,20499,13.3,9,12,1986.4,1.064,-51.0,1
rsi_revert,trailSL4T2,reg,0.3192,18465,11.98,9,12,1534.1,1.048,-101.1,1
rsi_revert,trailSL4T2,reg,0.3888,16151,10.48,8,12,1037.6,1.047,-140.7,1
rsi_revert,trailSL4T2,reg,0.4736,13520,8.77,7,12,1138.6,1.049,-150.6,0
rsi_revert,trailSL4T2,reg,0.5861,10493,6.81,10,12,1342.7,1.065,-122.9,0
rsi_revert,trailSL4T2,reg,0.7629,6950,4.51,8,12,818.1,1.091,-113.2,0
rsi_revert,trailSL4T2,reg,1.2085,2774,1.8,8,12,170.1,1.031,-80.5,0
breakout,barT1.5S1H60,clf,0.4,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.4308,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.4615,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.4923,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.5231,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.5538,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.5846,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.6154,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.6462,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.6769,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.7077,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.7385,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.7692,0,0.0,0,12,0.0,0,0.0,0
breakout,barT1.5S1H60,clf,0.8,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
breakout,trailSL4T2,reg,0.0,0,0.0,0,12,0.0,0,0.0,0
