time,open,high,low,close,spread,f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,h1_trend_sma20,h1_trend_sma50,h1_slope5,h1_rsi14,h1_atr_ratio,h1_dist_sma20,h1_dist_sma50,h4_trend_sma20,h4_trend_sma50,h4_slope5,h4_rsi14,h4_atr_ratio,h4_dist_sma20,h4_dist_sma50,label
2016.09.09 00:15,623.81000,625.00000,623.81000,623.90000,0,0.075630,0.924370,0.075630,0.005720,0.854459,-0.014327,0.396997,0.583333,0.804398,0.000000,0.185391,-0.554190,0.064612,1.346253,-0.848739,-0.301901,-3.510234,0.137731,0.114754,12.222222,0.025109,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 00:20,623.80000,625.14000,623.80000,625.14000,0,1.000000,0.000000,1.000000,1.000000,0.000000,0.120609,0.441152,1.416667,0.947917,0.000000,0.242640,5.405380,1.131196,1.075160,1.000000,-0.233940,-0.202748,0.155093,8.857143,0.000000,1.554989,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 00:25,625.14000,625.19000,623.82000,625.19000,0,1.000000,-0.963504,0.036496,0.036496,-0.928339,0.094347,0.898361,1.583333,0.816514,0.000000,0.257822,-0.203934,0.079691,1.192852,1.000000,0.026207,-0.110071,0.628440,0.040323,26.400000,0.046745,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 00:30,625.19000,625.63000,623.84000,623.92000,0,0.044693,0.201117,0.709497,-0.677788,0.058425,0.083204,1.353497,0.083333,0.153465,-1.306569,-0.427872,0.163350,-2.107910,2.194368,-0.910615,0.227390,-0.020672,0.886139,25.400000,0.409449,-1.018708,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 00:35,623.93000,623.93000,623.92000,623.92000,0,0.000000,0.000000,1.000000,-1.000000,0.000000,-0.065374,0.007030,0.083333,0.065574,0.000000,-0.000015,-0.999713,0.000000,2.892798,-1.000000,-0.941828,-0.066482,0.005464,0.000000,0.000000,-0.000463,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 00:40,623.92000,625.00000,623.92000,623.92000,0,0.000000,1.000000,0.000000,0.000000,1.000000,-0.209520,0.957871,-0.083333,0.065574,0.000000,0.000000,2686.000000,0.000000,0.000000,-1.000000,-0.355789,-0.056474,0.590164,0.000000,0.000000,0.000000,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 00:45,623.92000,625.40000,623.91000,625.20000,0,0.865772,0.127517,0.859060,0.743750,0.017972,0.001131,1.402353,0.750000,0.762431,0.000000,0.355180,0.015290,2.236953,2.236953,0.731544,-0.130101,-0.039596,0.823204,0.000000,0.164062,0.984381,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 00:50,623.92000,623.92000,623.90000,623.90000,0,0.000000,0.000000,1.000000,-1.000000,0.000000,0.068320,0.018307,-0.500000,0.033520,-0.013423,-0.000061,-0.991753,-0.953722,2.804281,-1.000000,-0.815427,0.005510,0.011173,1.015625,0.000000,-0.012619,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 00:55,623.90000,624.36000,623.82000,624.35000,0,0.981481,-0.129630,0.833333,0.817901,-0.021605,0.049246,0.830769,0.833333,0.335443,27.000000,0.050112,36.916217,0.180845,1.819815,0.962963,-0.609715,0.046901,0.341772,0.346154,0.200000,0.565123,0.981740,2.780200,0.015121,69.9238,0.204964,0.554321,1.585892,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 01:00,624.33000,624.36000,623.60000,624.32000,0,0.947368,-0.907895,0.013158,-0.000693,-0.895949,-0.003051,0.971246,-0.583333,0.400000,-1.407407,-0.107564,0.281463,-0.026657,0.206537,0.894737,-0.634699,0.134263,0.422222,0.066667,75.000000,-0.009743,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 01:05,624.33000,624.33000,623.60000,623.60000,0,0.000000,0.000000,1.000000,-1.000000,0.000000,-0.172136,1.039146,-1.416667,0.000000,0.000000,-0.102158,0.281815,-0.704838,0.681939,-1.000000,-0.018576,0.000000,0.405556,24.000000,0.000000,-1.150689,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
2016.09.09 01:10,624.30000,624.38000,623.60000,623.60000,0,0.000000,0.102564,0.897436,-0.897436,0.010519,-0.118125,1.521951,-0.583333,0.000000,0.000000,-0.232903,-0.442225,0.000000,1.543881,-1.000000,0.017500,0.000000,1.000000,0.000000,0.114286,-0.845230,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
2016.09.09 01:15,623.65000,624.37000,623.31000,624.37000,0,1.000000,-0.320755,0.679245,0.679245,-0.102884,-0.063978,1.508897,0.416667,0.990654,1.358974,0.497315,0.789291,2.137116,2.137116,1.000000,-0.009409,0.272849,0.990654,0.000000,0.472222,0.858812,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
2016.09.09 01:20,624.37000,624.38000,622.51000,624.30000,0,0.957219,-0.951872,0.037433,-0.001601,-0.916240,0.066536,2.246246,-0.750000,0.957219,-1.764151,-1.452536,0.883510,-0.369753,2.569419,0.914439,0.000000,0.729167,1.000000,0.090909,25.714286,-0.067435,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
2016.09.09 01:25,622.88000,624.30000,622.79000,622.95000,0,0.105960,0.834437,0.046358,0.004912,0.795755,-0.053743,1.360360,-1.166667,0.235294,0.807487,0.914665,-0.389168,-3.020002,2.871305,-0.788079,-0.071657,-0.250800,0.807487,19.285714,20.571429,0.047732,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
2016.09.09 01:30,623.10000,625.99000,623.08000,625.98000,0,0.996564,-0.003436,0.989691,0.986290,-0.000035,0.269821,2.229885,0.416667,0.997126,0.000000,2.763217,0.161065,2.889113,4.461878,0.993127,1.300635,-0.460473,0.836207,2.244444,0.010417,1.112066,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 01:35,625.00000,625.92000,625.00000,625.01000,0,0.010870,0.989130,0.010870,0.000118,0.978379,0.244628,0.500680,-1.083333,0.718391,0.000000,0.289051,-0.290843,-0.724994,3.195189,-0.978261,-0.057851,-2.057851,0.264368,0.320132,91.000000,0.008144,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 01:40,625.01000,627.01000,625.00000,625.55000,0,0.273632,0.721393,0.268657,0.073513,0.527586,0.372028,1.115118,0.583333,0.675556,0.000000,1.344571,0.772797,0.458034,1.172931,-0.452736,0.832168,-1.803030,0.446667,0.556701,2.722222,0.322039,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 01:45,625.55000,625.55000,625.55000,625.55000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.389388,0.000000,0.416667,0.654028,0.000000,0.000000,-0.999573,0.000000,0.464094,0.000000,-1.191837,-2.016327,0.000000,0.000000,0.000000,0.000000,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
2016.09.09 01:50,625.55000,626.42000,625.35000,625.35000,0,0.000000,0.813084,0.186916,-0.186916,0.661106,-0.058810,0.732877,-0.916667,0.577608,0.000000,-0.381920,835.732395,-0.053171,0.053171,-1.000000,-0.481914,-0.285881,0.272265,0.000000,4.350000,-0.122898,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,0
2016.09.09 01:55,625.36000,625.60000,625.36000,625.36000,0,0.000000,1.000000,0.000000,0.000000,1.000000,0.044025,0.240000,0.750000,0.179104,0.000000,0.000000,-0.561522,0.011472,0.171161,-1.000000,-1.241509,-0.316981,0.119403,0.050000,0.000000,0.000000,0.767269,2.401596,0.286865,68.4478,0.361340,0.492928,1.559265,2.075740,4.945403,0.358917,71.7640,-0.055434,2.113598,5.187166,1
