time,open,high,low,close,spread,f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,h1_trend_sma20,h1_trend_sma50,h1_slope5,h1_rsi14,h1_atr_ratio,h1_dist_sma20,h1_dist_sma50,h4_trend_sma20,h4_trend_sma50,h4_slope5,h4_rsi14,h4_atr_ratio,h4_dist_sma20,h4_dist_sma50,entry_class
2020-01-02 07:40:00,1519.77,1520.03,1519.58,1519.58,22,0.0,0.577778,0.422222,-0.422222,0.333827,0.131707,0.81448,-1.166667,0.583333,0.0,-0.60232,0.04228,-1.490899,0.442614,-1.0,0.073171,-1.536585,0.416667,1.3125,1.368421,-0.545212,-0.03046595005641045,0.15094339585790184,0.5833333332792509,0.7748366012268576,0.40750542910310716,0.29268292675763874,-0.9024390241704953,-1.6585365849616165,1.5365853654787125,1.1463414631351942,0.71326513810575,0.5185868574463144,53.65853657228257,0.9659258262890683,-0.587785252292473,-0.857538,0.954262,-0.251302,36.6575,0.328454,-0.148457,0.165722,1.22723,5.765928,-0.173259,65.0847,0.094687,0.331444,1.576558,1
2020-01-02 07:45:00,1519.58,1519.63,1519.29,1519.48,22,0.558824,-0.411765,0.294118,-0.129758,-0.290657,-0.083051,0.546185,-1.583333,0.490741,0.0,-0.325447,-0.389575,-0.525756,0.817485,0.117647,-0.949153,-0.80678,0.314815,0.47619,2.4,-0.22641,-0.062277580289241685,0.010416666347646486,0.4907407406953096,0.624691357966109,0.3364139389226391,0.02372881355367135,0.21355932198304214,-1.494915253882374,1.2576271183456607,1.3050847454530032,0.34154037500310586,0.5221087866217917,52.20338981812445,0.9659258262890683,-0.587785252292473,-0.857538,0.954262,-0.251302,36.6575,0.328454,-0.148457,0.165722,1.22723,5.765928,-0.173259,65.0847,0.094687,0.331444,1.576558,1
2020-01-02 07:50:00,1519.54,1519.92,1519.52,1519.88,22,0.9,0.05,0.85,0.765,0.0075,-0.103448,0.620155,-0.083333,0.861111,1.176471,0.422777,0.00979,1.213236,1.611419,0.8,-0.252874,-1.310345,0.37037,4.0,0.176471,0.649135,0.004702194135898563,0.15185185156215497,0.8611111110314955,0.645061728335352,0.7219389229434571,0.9425287354157467,1.9080459765733153,-0.04597701148364396,2.137931033991535,0.3448275861273297,-0.16264172219190032,0.533057638533238,50.57471263205436,0.9659258262890683,-0.587785252292473,-0.857538,0.954262,-0.251302,36.6575,0.328454,-0.148457,0.165722,1.22723,5.765928,-0.173259,65.0847,0.094687,0.331444,1.576558,1
2020-01-02 07:55:00,1519.88,1520.36,1519.78,1520.19,21,0.706897,0.12069,0.534483,0.377824,0.056183,0.244057,1.040359,0.916667,0.879433,0.0,0.827987,1.104203,1.523967,0.262835,0.413793,0.732171,-1.087163,0.411348,0.775,0.870968,0.772955,0.0647058821204215,0.21686746962040704,0.8794326240512013,0.7437614919260022,0.9688243250160472,0.5324881139865159,1.8193343894542235,0.6434231377336016,2.751188588930248,-0.35499207599117877,-0.12355377258508071,0.5504252505292013,46.59270997381837,0.9659258262890683,-0.587785252292473,-0.857538,0.954262,-0.251302,36.6575,0.328454,-0.148457,0.165722,1.22723,5.765928,-0.173259,65.0847,0.094687,0.331444,1.576558,1
2020-01-02 08:00:00,1520.2,1520.58,1520.18,1520.58,21,1.0,-0.05,0.95,0.95,-0.0025,0.591888,0.903955,1.583333,1.0,0.0,0.381619,-0.237473,1.749138,0.585214,1.0,0.480499,-1.943838,0.310078,1.258065,0.052632,1.040593,0.08774373236131106,0.2006369424073704,0.9999999999224806,0.9135145783350591,1.1563610360806122,1.7254290167839197,2.882995319183252,1.266770670550119,3.560062401718626,-0.4804992198639581,-0.11409649889935336,0.5395859328372221,45.86583462337213,0.8660254037844387,-0.587785252292473,-0.627664,1.191252,-0.240374,39.1276,0.346376,-0.110325,0.210059,1.172991,6.001585,-0.197422,60.5903,0.007343,0.291634,1.510271,1
2020-01-02 08:05:00,1520.58,1520.81,1520.34,1520.42,23,0.170213,0.319149,0.340426,-0.282481,0.210502,0.575159,1.093023,0.083333,0.743421,-1.175,-0.548912,-0.194202,-0.589704,2.429769,-0.659574,0.512739,-1.828025,0.309211,0.410256,1.9375,-0.314698,0.1614420059793089,0.20063694240747187,0.7434210525827504,0.8742845588521441,0.9671190255114912,1.8726114645511598,2.1401273880581786,1.3598726111622,3.2770700629640226,0.3566878980093585,-0.09787267587964277,0.4794353979853976,51.27388533889192,0.8660254037844387,-0.587785252292473,-0.627664,1.191252,-0.240374,39.1276,0.346376,-0.110325,0.210059,1.172991,6.001585,-0.197422,60.5903,0.007343,0.291634,1.510271,2
2020-01-02 08:10:00,1520.4,1520.7,1520.28,1520.28,20,0.0,0.714286,0.285714,-0.285714,0.510204,0.23109,0.908108,-0.916667,0.589147,0.0,-0.443972,0.0437,-0.457965,0.115893,-1.0,-0.246795,-1.121795,0.325581,0.875,2.5,-0.262241,0.2056856183986937,0.23333333304005055,0.5891472867760447,0.7775227797604253,0.8379706169106198,1.7948717944691255,1.8173076918999704,1.189102563835802,2.9839743583049274,1.189102563835802,-0.20731848078895843,0.4448603152702375,44.871794861730685,0.8660254037844387,-0.587785252292473,-0.627664,1.191252,-0.240374,39.1276,0.346376,-0.110325,0.210059,1.172991,6.001585,-0.197422,60.5903,0.007343,0.291634,1.510271,1
2020-01-02 08:15:00,1520.28,1520.28,1519.88,1520.11,21,0.575,-0.575,0.425,-0.180625,-0.330625,-0.101899,0.855615,-1.583333,0.320388,0.0,-0.392565,-0.454606,-0.492851,0.021383,0.15,-1.174051,0.664557,0.38835,1.214286,1.352941,-0.220706,0.1302816898301482,0.2006369424073704,0.3203883494833953,0.5509855629473968,0.7164774207056164,0.5094936707727918,1.4177215186731238,0.6202531644195546,2.5696202525952256,1.5506329110491384,-0.22714280931339514,0.4395602572899593,46.51898733147113,0.8660254037844387,-0.587785252292473,-0.627664,1.191252,-0.240374,39.1276,0.346376,-0.110325,0.210059,1.172991,6.001585,-0.197422,60.5903,0.007343,0.291634,1.510271,1
2020-01-02 08:20:00,1520.11,1520.26,1519.81,1520.16,21,0.777778,-0.444444,0.111111,0.08642,-0.395062,-0.245802,1.065089,-0.083333,0.35,1.125,0.46256,0.51287,0.169574,0.819664,0.555556,-1.175573,0.149618,0.45,0.294118,8.0,0.101479,0.16187050326381103,0.11475409805830383,0.3499999999651364,0.4198452120748588,0.7328484396648364,-0.06412213739081901,0.448854961736219,0.6625954197061017,2.58625954143213,1.3893129768020505,-0.25363194426810753,0.4670624086375892,44.88549617361413,0.8660254037844387,-0.587785252292473,-0.627664,1.191252,-0.240374,39.1276,0.346376,-0.110325,0.210059,1.172991,6.001585,-0.197422,60.5903,0.007343,0.291634,1.510271,1
2020-01-02 08:25:00,1520.16,1520.43,1519.97,1520.09,23,0.26087,0.326087,0.152174,-0.112476,0.276465,-0.164955,1.057471,-1.083333,0.28,-1.022222,-0.473179,0.262654,-0.605325,0.922723,-0.478261,-0.570997,-0.338369,0.46,1.4,5.571429,-0.181391,0.11886792420131631,-0.0510204084382076,0.2799999999719727,0.3167961164735015,0.6772411505420923,-1.0362537762159343,0.6344410874790355,0.7190332324761761,2.410876132420431,1.5226586099499737,-0.23224887568974883,0.45925946211984847,48.640483373400095,0.8660254037844387,-0.587785252292473,-0.627664,1.191252,-0.240374,39.1276,0.346376,-0.110325,0.210059,1.172991,6.001585,-0.197422,60.5903,0.007343,0.291634,1.510271,1
