f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,time,idx,direction,rule,atr,entry_price,label,hurst_rs,ou_theta,entropy_rate,kramers_up,wavelet_er,vwap_dist,quantum_flow,quantum_flow_h4,quantum_momentum,quantum_vwap_conf,quantum_divergence,quantum_div_strength
0.75,-0.022727,0.477273,0.357955,-0.01188,-0.284773,1.416499,-0.083333,0.418231,0.846154,0.98,0.278624,1.274682,2.95575,0.5,-0.906818,-0.190909,0.47185,0.647482,1.095238,0.570233,-0.0373333334196941,-0.1428571429021506,0.4182305629915126,0.2412511908746571,0.5031204136740292,-1.718181818045082,-0.3897727272417419,1.9170454543930864,1.240909090810558,2.688636363422484,0.0334979897879443,0.7804034229779975,16.7045454532172,-0.9659258262890683,-0.587785252292473,2020-01-02 17:00:00,41,1,R3c_breakpullback,1.2571428571428185,1527.15,1,0.5815467714902407,-0.009030721306778426,0.7413808066796126,8.107357721030981,34.183514913705984,4.490988196289653,-13.199999999999593,863.5628571428501,-21.47357142857078,-1.0,1.0,863.5628571428501
0.847222,0.076389,0.770833,0.653067,0.017506,0.203908,1.014085,1.583333,0.88535,0.0,0.712347,0.265698,1.283849,1.148176,0.694444,0.712848,-1.293073,0.458599,11.2,0.297297,0.749565,-0.0050125314151706,0.0340050377026686,0.8853503184431049,0.6107477672666519,0.7189580780405945,0.3647128478085965,0.7377146239766634,3.249259916841371,2.3043220838824694,1.7904085256066085,-0.111945208465693,0.6452046519350907,14.091178210792217,-0.9659258262890683,-0.587785252292473,2020-01-02 17:10:00,43,1,R3g_three_green,1.20642857142853,1528.37,1,0.5815467714902407,-0.009030721306778426,0.7429179288207651,0.009538848645102193,34.183514913705984,5.623041122378174,85.65642857142562,863.5628571428501,45.5142857142839,1.0,0.0,0.0
0.895522,0.104478,0.895522,0.80196,0.010916,0.644262,0.890365,2.083333,0.966019,0.0,0.603198,0.16008,1.328529,0.300196,0.791045,0.918033,-2.081967,0.325243,1.071429,0.116667,0.975927,0.0988372092048467,0.1639999999203073,0.9660194174522576,0.7933440520869004,0.9896863360316248,1.5819672129849995,1.5901639342957958,3.7049180324833033,3.262295081699928,0.7868852458371948,-0.2015581579047054,0.6330433117614631,13.934426228366462,-0.9659258262890683,-0.587785252292473,2020-01-02 17:15:00,44,1,R3h_close_streak,1.2199999999999622,1529.57,0,0.5520681884298173,0.013225867788365826,0.7429179288207651,0.009538848645102193,34.183514913705984,6.506932308051091,169.57999999999475,863.5628571428501,83.92357142856913,1.0,0.0,0.0
0.571429,0.428571,0.571429,0.326531,0.183673,-0.073197,1.369193,0.416667,0.34728,1.891892,0.693706,-0.068478,2.089479,3.88186,0.142857,-0.807692,-0.02524,0.585774,1.269841,0.75,0.483276,0.0272067713738742,0.0502645500898809,0.3472803347134909,0.2577973193293558,0.8216453392718576,0.0673076923019687,2.9531249997515547,1.590144230635541,3.5084134612433706,1.3124999998895377,-0.1735412263253164,0.4175455333698485,18.509615383058225,-0.9659258262890683,-0.587785252292473,2020-01-02 17:45:00,50,1,R3d_oversold,1.1885714285714195,1529.76,0,0.541232872657706,0.019841528719174394,0.7558723962574849,0.6189842287298961,46.547403577873396,6.548463485352225,164.6171428571416,863.5628571428501,10.857142857142492,1.0,0.0,0.0
0.4375,0.25,0.125,0.054687,0.21875,-0.361232,0.709534,0.416667,0.162791,0.97561,0.258387,-0.040179,0.183926,1.429942,-0.125,-0.988447,0.134788,0.372093,0.15625,7.0,0.127731,0.1593103447002772,-0.1484149856515851,0.1627906976668149,0.1433940006662213,0.4679162083305924,-0.3594351732668916,-0.9075738124986868,0.835686777845186,0.1797175866334458,2.4801026955409804,-0.2080861069891876,0.2434753458472744,19.768934529674542,-1.0,-0.587785252292473,2020-01-02 18:05:00,54,1,R3b_higherlow,1.1128571428571217,1528.56,0,0.541232872657706,0.019841528719174394,0.7814577478974597,0.04267454238167174,46.547403577873396,5.7349722909300285,15.02357142857114,863.5628571428501,-25.32000000000005,1.0,0.0,0.0
0.768116,-0.043478,0.492754,0.378492,-0.022054,0.006773,0.734043,1.416667,0.666667,0.0,0.222837,-0.107469,0.681643,0.662753,0.536232,-0.212854,-0.551486,0.418182,0.507463,1.029412,0.502491,0.0183615818184186,-0.1975476839731243,0.6666666666263086,0.3331965344099156,0.5015573804296086,-0.4547339322294788,-1.1416724255977426,0.512785072514505,1.0642709052185142,2.602626122761149,-0.1220092811005457,0.1102074636666579,20.31789909962366,-1.0,-0.587785252292473,2020-01-02 18:20:00,57,1,R3f_sma_bounce,1.0335714285714306,1528.63,0,0.5559710309182262,0.030466433711835977,0.7814577478974597,0.04267454238167174,46.547403577873396,6.125930751433322,16.53714285714289,863.5628571428501,50.78214285714244,1.0,0.0,0.0
0.878049,0.097561,0.853659,0.749554,0.014277,-0.062282,1.008197,1.083333,0.516746,0.6,0.616329,0.314879,1.023366,2.741092,0.756098,-0.776273,0.036106,0.588517,0.597633,0.171429,0.870949,-0.1021251476454609,-0.053684210582689,0.5167464114585669,0.3992329307899657,0.3527947339452076,-0.550612508009534,-0.911669890311009,0.2798194712835303,0.9387491939835888,2.175370728365761,0.1338173490126695,0.15960882815781,18.95551257082313,-1.0,-0.587785252292473,2020-01-02 18:30:00,59,1,R3d_oversold,1.107857142857126,1527.95,0,0.5559710309182262,0.030466433711835977,0.7814577478974597,0.04267454238167174,46.547403577873396,5.048329619224292,-53.73107142857061,863.5628571428501,-30.418928571428005,-1.0,1.0,863.5628571428501
0.318841,-0.246377,0.608696,-0.414619,-0.096408,-0.060164,0.54224,-0.583333,0.097778,-0.775281,-0.217098,-0.321832,-0.440917,0.583917,-0.362319,-0.687585,0.152797,0.306667,3.727273,0.642857,-0.440909,-0.1420940171475472,-0.1588785047207072,0.0977777777734442,0.16496898811912,0.0784702389889013,-1.6234652113048016,-2.072305593253573,-0.3055934515396584,0.0572987721638623,3.00818553859398,-0.1773110361858839,0.0577963776981582,21.00954979335569,-1.0,-0.587785252292473,2020-01-02 18:45:00,62,1,R3e_false_breakdown,1.0471428571428305,1526.93,0,0.5422843561448057,0.042804947727314045,0.7584898771505203,0.004598894266948207,124.10855808985548,4.279782292854915,-71.20571428571247,863.5628571428501,-14.419285714285152,-1.0,1.0,863.5628571428501
0.531915,0.042553,0.106383,0.056587,0.038026,-0.401766,0.52514,-0.083333,0.115556,0.652778,0.117215,-0.113672,0.094489,0.31686,0.06383,-1.52465,-0.010302,0.208889,0.5,8.4,0.097098,-0.2241798299375464,-0.4292452830388538,0.1155555555504157,0.0945229992152715,0.0769857610265671,-1.988226637028316,-2.966887416912849,-4.4915378950487,0.2678440029157449,3.657100809041983,-0.1752987093369911,-0.0610101569346205,22.66372332364075,-0.9659258262890684,-0.587785252292473,2020-01-02 19:05:00,66,1,R3a_pullback,0.9707142857142635,1525.41,0,0.5422843561448057,0.042804947727314045,0.7749418142321309,0.00018240000110245668,124.10855808985548,2.9710483343635308,-169.389642857139,863.5628571428501,13.815714285712971,-1.0,1.0,863.5628571428501
1.0,-0.663043,0.336957,0.336957,-0.439627,0.257809,1.957447,0.583333,0.948454,2.555556,1.126749,-0.078014,1.020957,1.694007,1.0,-0.081585,0.146853,0.948454,1.611111,1.967742,0.320366,0.1695652171196161,0.0562499997914213,0.9484536081496924,0.7903595785568528,0.8644084923849104,0.6200466199452592,1.1421911420048545,-0.7505827504603436,1.9580419577225547,0.0979020978860349,0.0958230859945405,-0.4179894180446822,31.002330997272608,-0.8660254037844386,-0.587785252292473,2020-01-02 20:30:00,83,1,R3b_higherlow,0.6128571428571377,1525.77,1,0.5589022941925834,0.0836179745362382,0.7837592795727556,0.0002169106911517212,106.37739372308872,4.877777523441039,-41.06142857142822,1014.2678571428482,-5.894285714285566,-1.0,1.0,1014.2678571428482
