time,open,high,low,close,spread,f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,h1_trend_sma20,h1_trend_sma50,h1_slope5,h1_rsi14,h1_atr_ratio,h1_dist_sma20,h1_dist_sma50,h4_trend_sma20,h4_trend_sma50,h4_slope5,h4_rsi14,h4_atr_ratio,h4_dist_sma20,h4_dist_sma50,label
2012.02.06 16:50,1719.20000,1721.53000,1718.95000,1720.56000,40,0.624031,0.279070,0.527132,0.328947,0.131963,0.476010,1.519882,1.583333,0.825225,0.000000,0.804805,0.207225,1.261213,0.620377,0.248062,1.145767,-1.460485,0.464865,0.591489,0.897059,0.623385,-1.996577,-4.898094,0.037373,31.8126,-0.232304,-0.624971,-1.519406,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,0
2012.02.06 16:55,1720.43000,1720.83000,1718.67000,1719.44000,40,0.356481,-0.171296,0.458333,-0.294946,-0.092785,0.502994,1.093671,0.083333,0.623423,-0.837209,-0.567287,-0.034308,-0.992643,2.138560,-0.287037,-0.345192,-1.326523,0.389189,0.805755,1.181818,-0.507295,-1.996577,-4.898094,0.037373,31.8126,-0.232304,-0.624971,-1.519406,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,0
2012.02.06 17:00,1719.49000,1721.07000,1719.37000,1720.73000,40,0.800000,0.129412,0.729412,0.583529,0.035017,0.397543,0.793466,1.083333,0.855856,0.787037,0.348931,0.156363,1.102824,2.006724,0.600000,-0.226044,-1.316953,0.306306,1.151786,0.370968,0.867006,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,0
2012.02.06 17:05,1720.65000,1722.79000,1720.33000,1720.62000,40,0.117886,0.752033,0.012195,-0.010757,0.742861,0.152845,1.099441,-0.583333,0.644262,-1.447059,-0.750008,-0.016304,-0.106231,1.277718,-0.764228,0.627312,-0.826458,0.403279,0.085271,81.000000,-0.013368,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,-1
2012.02.06 17:10,1720.75000,1721.84000,1717.78000,1718.88000,40,0.270936,-0.002463,0.460591,-0.335800,-0.001329,-0.101395,1.824719,-1.416667,0.219561,0.000000,-1.782975,-0.005723,-1.659695,1.553656,-0.458128,-0.441860,0.413953,0.810379,15.818182,1.171123,-0.477332,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,0
2012.02.06 17:15,1719.03000,1720.70000,1718.42000,1718.67000,40,0.109649,0.622807,0.157895,-0.140582,0.524469,-0.158782,0.878613,-1.583333,0.177645,0.000000,-0.570222,0.030680,-0.247667,1.778094,-0.780702,-0.978923,-0.299766,0.455090,0.120690,5.333333,-0.164710,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,-1
2012.02.06 17:20,1718.93000,1719.61000,1717.58000,1718.64000,40,0.522167,-0.187192,0.142857,-0.068262,-0.160450,-0.282861,0.773333,-2.083333,0.203455,0.000000,-0.438720,-0.195416,-0.041952,0.278648,0.044335,-1.467370,0.092287,0.389635,0.142857,6.000000,-0.121242,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,-1
2012.02.06 17:25,1718.68000,1719.85000,1717.90000,1718.25000,40,0.179487,0.420513,0.220513,-0.180934,0.327784,-0.233411,0.720222,-2.083333,0.128599,0.000000,-0.417662,0.048333,-0.682277,0.624817,-0.641026,-0.932708,-0.149983,0.374280,13.000000,3.534884,-0.202523,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,-1
2012.02.06 17:30,1718.21000,1718.43000,1717.20000,1717.35000,40,0.121951,0.056911,0.699187,-0.613920,0.017119,-0.165940,0.476744,-2.083333,0.032328,0.000000,-0.171998,-0.038651,-1.244627,0.707536,-0.756098,-1.082425,0.181199,0.265086,2.307692,0.430233,-0.640407,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,-1
2012.02.06 17:35,1717.33000,1717.38000,1716.04000,1716.20000,40,0.119403,-0.082090,0.843284,-0.742593,-0.012865,-0.305178,0.715621,-2.083333,0.034335,0.000000,-0.215433,-0.037472,-2.066672,0.386261,-0.761194,-1.209937,0.568230,0.287554,1.277778,0.185841,-0.777009,-1.152423,-4.040694,0.055597,37.6772,-0.211851,-0.371123,-1.289261,-1.889079,-0.975952,-0.255970,32.2764,0.079125,-1.610985,-0.838813,1
