time,open,high,low,close,spread,f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,h1_trend_sma20,h1_trend_sma50,h1_slope5,h1_rsi14,h1_atr_ratio,h1_dist_sma20,h1_dist_sma50,h4_trend_sma20,h4_trend_sma50,h4_slope5,h4_rsi14,h4_atr_ratio,h4_dist_sma20,h4_dist_sma50,label,entry_class,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,cluster
2016-10-21 23:20:00,630.16,630.56,630.12,630.12,0,0.0,0.909091,0.090909,-0.090909,0.826446,-0.143668,2.070588,-1.083333,0.0,0.0,-0.904483,33.151678,-0.503055,0.503055,-1.0,0.0,0.030568,1.0,0.0,10.0,-0.230649,0.493789,1.123877,-0.226773,59.5406,-0.169629,0.133557,0.304498,0.164994,-0.670152,0.131389,40.1487,-0.079476,0.112081,-0.452668,-1,1,-0.025862069251637865,-0.024390244250425797,0.0,0.046511627896123044,0.4348058815728631,-0.12227074232060613,-1.3144104799475584,0.3668122269621659,-0.03056768558015153,1.34497816552771,0.40334126877445753,-0.3878314800119672,0.0,-0.25881904510252157,-0.433883739117558,0
2016-10-21 23:25:00,630.56,630.56,630.13,630.13,0,0.0,0.0,1.0,-1.0,0.0,-0.247887,1.365079,0.25,0.022727,0.0,-0.733585,-0.027012,0.229982,0.709898,-1.0,0.0,-0.028169,0.977273,0.25,0.0,-1.682243,0.493789,1.123877,-0.226773,59.5406,-0.169629,0.133557,0.304498,0.164994,-0.670152,0.131389,40.1487,-0.079476,0.112081,-0.452668,-1,1,-0.019480519771751692,-0.018072289504993178,0.02272727272208982,0.03083157152209139,0.43700504891975733,-0.08450704222964867,-1.0985915489863933,0.36619718299546444,0.028169014076549554,1.2112676052925917,0.3236307572245194,-0.33331544789046774,0.0,-0.25881904510252157,-0.433883739117558,0
2016-10-21 23:30:00,630.56,630.56,630.56,630.56,0,0.0,0.0,0.0,0.0,0.0,0.223188,0.0,1.166667,1.0,0.0,0.0,-0.997684,2.534715,2.41546,0.0,0.0,-1.275362,0.0,43.0,0.0,0.0,0.493789,1.123877,-0.226773,59.5406,-0.169629,0.133557,0.304498,0.164994,-0.670152,0.131389,40.1487,-0.079476,0.112081,-0.452668,-1,1,0.06204379533325233,0.1587301584164842,0.9999999997727272,0.34090909083160553,0.7551575527964168,0.028985507237952016,1.1014492750431653,1.9130434777064806,1.2753623184708773,0.0,-0.10882946835534923,-0.34951247116726325,0.0,-0.25881904510252157,-0.433883739117558,0
2016-10-21 23:35:00,630.13,630.13,629.09,629.09,0,0.0,0.0,1.0,-1.0,0.0,-0.380192,3.2,-0.416667,0.0,0.0,-2.704856,400.062833,-3.676642,4.832183,-1.0,-0.961661,2.303514,0.707483,3.418605,0.0,-1.555728,0.493789,1.123877,-0.226773,59.5406,-0.169629,0.133557,0.304498,0.164994,-0.670152,0.131389,40.1487,-0.079476,0.112081,-0.452668,1,0,-0.13875598098224023,-0.3119658120140355,0.0,0.34090909083160553,-0.36614016579551567,-2.392971245471299,-3.2875399353671138,-0.24600638972139363,-2.3035143764817936,3.2875399353671138,0.3692229856360987,-0.15656157385897573,0.0,-0.25881904510252157,-0.433883739117558,0
2016-10-21 23:40:00,630.04,630.04,629.09,630.03,0,0.989474,-0.989474,0.010526,-0.000111,-0.979058,-0.248617,1.989529,1.083333,0.639456,0.0,-1.873958,1.374189,3.062751,4.487265,0.978947,-1.05968,0.0,0.646259,0.639456,94.0,-0.022472,0.493789,1.123877,-0.226773,59.5406,-0.169629,0.133557,0.304498,0.164994,-0.670152,0.131389,40.1487,-0.079476,0.112081,-0.452668,1,0,-0.05394190884325473,-0.02249134958010679,0.6394557822694221,0.5464852606807163,0.3635618209149347,-0.26491994172186284,-0.26491994172186284,-1.4672489079981166,1.9155749632195702,1.0800582239429615,1.01149226730878,-0.07512116334077867,0.0,-0.25881904510252157,-0.433883739117558,0
2016-10-21 23:45:00,629.16,629.9,629.09,629.9,0,1.0,-0.08642,0.91358,0.91358,-0.007468,-0.185542,1.338843,-0.583333,0.55102,0.852632,1.152272,-0.126099,-0.506227,3.283302,1.0,-1.236948,0.0,0.55102,0.138298,0.094595,1.45176,0.493789,1.123877,-0.226773,59.5406,-0.169629,0.133557,0.304498,0.164994,-0.670152,0.131389,40.1487,-0.079476,0.112081,-0.452668,1,0,-0.06300813020565199,-0.04304635770668147,0.5510204081257762,0.3968253967983993,0.264924136390577,-0.41231593031102576,-0.4872824630947712,-0.14993306556770386,1.5180722888721225,1.2369477909328643,1.7457654347750133,0.00422122423489113,0.0,-0.25881904510252157,-0.433883739117558,0
2016-10-21 23:50:00,629.87,630.05,629.09,630.05,0,1.0,-0.8125,0.1875,0.1875,-0.660156,-0.036522,1.371429,0.583333,0.653061,0.0,1.393724,0.156338,0.527433,0.981996,1.0,-0.13913,0.0,0.653061,1.153846,4.333333,0.286425,0.493789,1.123877,-0.226773,59.5406,-0.169629,0.133557,0.304498,0.164994,-0.670152,0.131389,40.1487,-0.079476,0.112081,-0.452668,1,0,-0.013742072025531349,-0.011182108719910044,0.6530612244453557,0.6145124716135179,0.3920725686550979,-0.1391304347584939,-0.19130434779285496,-0.33043478255134884,1.669565217100938,0.886956521584929,1.3455597610576402,0.08164033087246358,0.0,-0.25881904510252157,-0.433883739117558,0
2016-10-21 23:55:00,630.12,630.18,630.12,630.18,0,1.0,0.0,1.0,1.0,0.0,0.394872,0.06383,1.416667,1.0,0.0,0.005799,-0.997923,0.25159,0.288692,1.0,0.233333,-1.848718,0.055046,0.866667,0.0,0.003172,0.493789,1.123877,-0.226773,59.5406,-0.169629,0.133557,0.304498,0.164994,-0.670152,0.131389,40.1487,-0.079476,0.112081,-0.452668,-1,1,-0.042410714428713525,0.007692307598573311,0.9999999999082568,0.7346938774931294,0.49644092021031405,-0.6820512819289081,-0.6641025639834266,-0.07179487178212994,1.9564102560591128,0.6820512819289081,0.5311178351484656,0.05058994646418591,0.0,-0.25881904510252157,-0.433883739117558,0
2016-10-22 00:00:00,630.92,657.0,629.09,630.15,0,0.037979,0.896453,0.027589,-0.026541,0.871721,0.020617,40.158273,-0.416667,0.037979,-465.166667,-61.228034,18426.622703,-1.838966,2.047597,-0.924042,10.633815,0.0,1.0,0.230769,35.246753,-0.128362,0.455759,1.105958,-0.129707,59.6646,-0.170363,0.121701,0.295836,-0.057138,-1.013964,0.088527,43.4958,-0.116459,-0.03696,-0.651853,0,1,-0.0012165451820663198,-0.0719298246515232,0.03797921891781257,0.5636801477571416,0.47547996233845086,0.4202775417561911,-0.003964882469394628,-0.027754177285807466,0.4202775417561911,0.16256018124531496,2.405042335962168,3.437044482758001,0.0,0.0,-0.9749279121818236,0
2016-10-22 00:05:00,629.12,630.05,629.12,630.03,0,0.978495,0.021505,0.978495,0.957452,0.000462,0.014023,0.125084,-0.916667,0.03368,0.033321,0.06562,-0.958116,-3.633637,2.761705,0.956989,-10.498052,-0.011686,0.033321,4.0,0.021978,0.187915,0.455759,1.105958,-0.129707,59.6646,-0.170363,0.121701,0.295836,-0.057138,-1.013964,0.088527,43.4958,-0.116459,-0.03696,-0.651853,0,1,-0.01536643042044672,0.31333333300800403,0.033679684700701325,0.3572196345089234,0.38969468448299843,0.0,-0.05063995547938431,-0.08569838619589477,0.3661658319278456,10.505843071377262,2.016876652712205,3.229628582836532,0.0,0.0,-0.9749279121818236,0
