f01_CPR,f02_WickAsym,f03_BEF,f04_TCS,f05_SPI,f06_LRSlope,f07_RECR,f08_SCM,f09_HLER,f10_EP,f11_KE,f12_MCS,f13_Work,f14_EDR,f15_AI,f16_PPShigh,f16_PPSlow,f17_SCR,f18_RVD,f19_WBER,f20_NCDE,rsi14,rsi6,stoch_k,stoch_d,bb_pct,mom5,mom10,mom20,ll_dist10,hh_dist10,vol_accel,atr_ratio,spread_norm,hour_enc,dow_enc,time,idx,direction,rule,atr,entry_price,label,hurst_rs,ou_theta,entropy_rate,kramers_up,wavelet_er,vwap_dist,quantum_flow,quantum_flow_h4,quantum_momentum,quantum_vwap_conf,quantum_divergence,quantum_div_strength,vpin,sig_quad_var,har_rv_ratio,hawkes_eta
1.0,0.0,1.0,1.0,0.0,0.14,2.0,0.083333,1.0,0.0,0.98,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.727273,-1.1666666410725668e-08,0.1666666533333335,0.9999999900000002,0.9999999900000002,0.6636636877019564,0.0,0.0,0.0,1.3999999804000005,0.0,1.6365482867551808,-0.9920187718495108,0.0,0.7071067811865475,-2.4492935982947064e-16,2016-10-22 03:00:00,43,1,R3b_higherlow,0.0071428571428506,629.0,1,0.425026957936076,0.2222727347877815,0.6559457126889334,0.0006371458839181,17.91681050673588,-51.63148148149652,11.817857142846394,-81.55714285714308,-1.6821428571413275,-1.0,-1.0,81.55714285714308,0.1961593880993691,0.2562141098460832,0.3774558380342819,0.6704980842911875
1.0,0.0,1.0,1.0,0.0,-0.311111,1.428571,-0.083333,1.0,0.394737,5.555556,-0.991756,2.592052,4.954798,1.0,0.0,-5.111111,0.394737,1.153846,0.0,0.034247,-2.0588235005725153e-09,-9.99999916206917e-10,0.999999999736842,0.5350877191574512,0.5890323347176886,0.0,0.2222222217282346,0.2222222217282346,8.444444425680496,0.0,3.4641117826795984,-0.9476996131492572,0.0,0.7071067811865475,-2.4492935982947064e-16,2016-10-22 03:20:00,47,1,R3f_sma_bounce,0.0449999999999915,629.0,1,0.425026957936076,0.2222727347877815,0.6298388884575649,0.000391273023214,17.91681050673588,-7.238888888884548,-2.429999999999544,-81.55714285714308,0.2474999999998846,1.0,0.0,0.0,0.19469470861683338,0.19949279724225608,0.3632951272667065,0.5134099616858235
1.0,0.0,1.0,1.0,0.0,-0.628814,0.093023,-0.083333,0.052632,0.0,0.007038,1.0,0.0,0.136521,1.0,-2.135593,0.0,0.052632,0.0,0.0,0.018832,-0.1730769239570208,-0.4500000001495168,0.0526315789202029,0.0350877192801351,-0.0142228099598677,-2.135593217804314,-2.135593217804314,-2.135593217804314,2.372881353117104,2.135593217804314,-0.5340274766997277,-0.8980279645467913,0.0,0.7071067811865475,-2.4492935982947064e-16,2016-10-22 03:50:00,53,1,R3b_higherlow,0.0842857142857269,628.82,1,0.4202498490018078,0.1628248516567474,0.5950945430820721,0.0002651174184811,20.648748919499788,-5.335544092356763,-17.531428571431206,-81.55714285714308,1.2303571428556737,1.0,0.0,0.0,0.19853128482523363,0.16673661393025863,0.3357172090552851,0.3448275862068966
1.0,0.0,1.0,1.0,0.0,0.378947,36.0,1.0,1.0,0.0,1.795014,15.641126,5.0,5.0,1.0,1.894737,-0.105263,0.947368,0.0,0.0,4.621212,-1.029411778041833e-09,0.4999999968421051,0.999999999473684,0.6851851816663123,0.694055405925559,1.8947368401098943,0.0,0.1052631577838165,1.999999997894908,0.0,-0.5854856499408555,-0.8797946567521058,0.0,0.8660254037844386,-2.4492935982947064e-16,2016-10-22 04:10:00,57,1,R3f_sma_bounce,0.0950000000000191,629.0,1,0.4282475445984104,0.1927547121895098,0.5950945430820721,0.0002651174184811,20.648748919499788,-2.48491228069818,-3.42000000000069,422.9967857142864,9.8371428571457,1.0,1.0,422.9967857142864,0.17170432849175135,0.15883110873588505,0.3295034162910346,0.3448275862068966
1.0,0.0,1.0,1.0,0.0,1.103261,0.793388,0.833333,1.0,0.235294,0.416824,-0.741689,4.521952,4.901269,1.0,1.293478,-4.527174,0.167832,11.333333,0.0,0.87892,0.294392522844774,0.4277108430381726,0.99999999993007,0.6880733942947148,1.5486473509315084,5.40217391098772,4.717391302552827,4.717391302552827,5.440217389234511,-1.2934782603774997,0.5590266135640447,-0.6229430931502224,0.0,0.8660254037844386,-2.4492935982947064e-16,2016-10-22 04:25:00,59,1,R3d_oversold,0.2628571428571636,630.24,0,0.4282475445984104,0.1927547121895098,0.5565822192174342,0.0002518259795368,20.648748919499788,3.752891583055424,125.51428571429564,422.9967857142864,105.45714285715056,1.0,0.0,0.0,0.21601067854232392,0.1546654651787934,0.32723074485692083,0.3448275862068966
1.0,0.0,1.0,1.0,0.0,0.420713,3.666667,1.083333,1.0,0.0,0.136723,110.538922,0.124787,0.124787,1.0,0.52292,-3.208829,0.140127,0.0,0.0,2.37234,0.151356993546575,0.1643990928801293,0.9999999999363056,0.9952016016986018,1.0669705379908794,3.731748725768184,3.8743633267528215,3.44651952379864,3.8981324269171975,-0.4991511034467704,-0.7976173716438204,-0.183237651654739,0.0,0.8660254037844386,-2.4492935982947064e-16,2016-10-22 04:50:00,63,1,R3c_breakpullback,0.4207142857143172,630.45,0,0.4474913318256932,0.2976085829312326,0.5565822192174342,0.0002518259795368,22.69203765812992,2.729202037351787,112.54107142857984,422.9967857142864,-0.2171428571414964,1.0,0.0,0.0,0.4279186641407929,0.2101018428985962,0.3388372807263805,0.8040106290940549
0.97861,-0.97861,0.02139,-0.000458,-0.957677,0.602111,34.0,-0.25,0.973404,-8.5,-5.964457,15.743067,-1.700122,2.125475,0.957219,-0.01847,3.065963,0.994681,0.227273,45.75,-0.100772,0.1459627327320077,0.17511520727993,0.9734042552673358,0.9886837713180628,0.9654003740831754,0.2955145118186967,2.918205804210076,2.604221635402724,2.936675461198942,0.092348284943487,0.1025218626138431,0.1513807452666531,0.0,0.8660254037844386,-2.4492935982947064e-16,2016-10-22 04:55:00,64,1,R3e_false_breakdown,0.5414285714285987,630.4,0,0.4474913318256932,0.2976085829312326,0.5704334348235907,0.0273777285089924,22.69203765812992,2.0121125152372645,67.94928571428913,422.9967857142864,-44.59178571429072,1.0,0.0,0.0,0.4772278694756608,0.22000742301089146,0.3426849496389502,0.9027893647262388
1.0,0.0,1.0,1.0,0.0,-0.033648,0.602151,1.166667,1.0,0.0,0.35381,349.889512,0.183475,1.401453,1.0,0.120172,-1.574249,0.348259,0.534351,0.0,0.656244,0.1230215826083139,0.0240506328317963,0.9999999999502488,0.5619546247532906,0.7507616126294588,0.1562231759468849,0.2283261802301361,2.127038626353794,2.4274678108670447,0.0,-0.0872680802199675,2.644953380544694,0.0,0.9659258262890684,-2.4492935982947064e-16,2016-10-22 05:45:00,74,1,R3c_breakpullback,0.8321428571428636,630.59,0,0.4180022604594316,0.189186815609473,0.5479636742017933,0.4870619510636479,17.726320602338554,1.3941109901139592,-20.38750000000016,422.9967857142864,37.20571428571441,-1.0,1.0,422.9967857142864,0.2850480319509234,0.23283401571644816,0.35875921300974795,1.072118241235888
0.963504,-0.635036,0.291971,0.281315,-0.449624,0.545175,2.099617,-0.916667,0.970149,0.0,1.341385,2290.927302,-0.017005,0.006593,0.927007,-0.011956,0.81298,0.681592,0.5,2.425,0.536302,0.0265017666542177,0.0101522841862619,0.9701492536830476,0.9834162520240196,0.688256892156032,0.0956447480670422,0.0239111870167605,2.0444064899347945,2.3313407341361927,0.0717335610504175,-0.4019451975842549,2.3386554129343136,0.0,0.9659258262890684,-2.4492935982947064e-16,2016-10-22 05:55:00,76,1,R3f_sma_bounce,0.8364285714285822,630.53,0,0.4180022604594316,0.189186815609473,0.5038643647888303,0.6305282961231804,17.726320602338554,1.284100050743123,-30.94785714285754,422.9967857142864,-40.54928571428625,-1.0,1.0,422.9967857142864,0.3145283158957773,0.2626521093483771,0.3682755867353957,1.2498143196672604
1.0,0.0,1.0,1.0,0.0,0.238519,0.380952,1.25,1.0,0.0,0.005377,20.000667,1.294118,1.294118,1.0,0.103704,-1.088889,0.086957,0.0,0.0,3.75,0.0037313430204354,0.0227272720144392,0.9999999995652172,0.999999999537612,0.501205029549397,0.1037037036498353,0.1037037036498353,7.311111107319876,1.244444443799203,-0.1037037036498353,-0.912464046651655,-0.5469950673860279,0.0,0.9659258262890684,-2.4492935982947064e-16,2016-10-22 07:15:00,92,1,R3f_sma_bounce,0.1928571428571461,629.99,1,0.3224351105398271,0.2904857672775603,0.5210738218572626,0.164558196123837,13.256181698231766,2.341873638343944,-13.114285714285936,422.9967857142864,2.29571428571443,-1.0,1.0,422.9967857142864,0.40270109075597754,0.36086993910468773,0.3766964496764234,1.4705882352941175
