scheme,R,PF,maxDD,avg_lot,R/|DD|
baseline,3629.7,3.47,-66.9,1.0,54.27
A_kelly,3866.3,3.453,-79.6,1.062000036239624,48.58
B_sqrt,3697.1,3.458,-72.8,1.0160000324249268,50.81
D_5step,5262.6,3.389,-139.9,1.439,37.63
