regime,n_trades,wins,losses,win_rate,total_R,avg_R,pf
0,459,297,161,0.6470588235294118,719.03,1.5665141612200435,3.6849514563106793
1,551,380,169,0.6896551724137931,916.37,1.663103448275862,4.395723708589639
2,357,216,141,0.6050420168067226,311.40999999999997,0.8722969187675069,2.260565090673575
ALL,1367,893,471,0.6532553035844916,1946.81,1.424147768836869,3.480960876768192
