regime,train_n,train_frac,train_logvol,train_ret,train_ret_std,holdout_n,holdout_frac,holdout_logvol,holdout_ret,holdout_ret_std
0,15559,0.8744450064632159,-9.618334431135029,-2.0293678241229056e-05,0.008898243460285664,2234,0.12555499353678412,-8.982941146571706,0.0034851394480551715,0.014930110144134824
1,31801,0.9161912993373668,-9.577867016157988,0.0005264396511539107,0.009271917532994675,2909,0.08380870066263325,-9.052608902191116,1.3014068557904905e-05,0.016920141775402433
2,28082,0.913770662501627,-9.462450002631979,-0.00017922417225721155,0.009695242708151218,2650,0.08622933749837303,-8.837637554817926,0.002023219763078484,0.015240978486956925
3,21,0.65625,-6.10958420815668,-0.03648043374204637,0.039552794009828245,11,0.34375,-5.543952610305544,0.019696119000381304,0.0420019440945799
