regime,n_trades,total_R,avg_R,win_rate,pf
0,484,1640.6657068344152,3.3898051794099486,0.6115702479338843,3.4769667816634566
1,739,2132.0144542307676,2.884999261476005,0.6562922868741543,3.3417463184255873
2,450,680.1367676079783,1.5114150391288406,0.5777777777777777,1.9747513287164142
3,1,-4.12975405288787,-4.12975405288787,0.0,0.0
ALL,1674,4448.687174620272,2.657519220203269,0.6218637992831542,2.955732868361693
