regime,n,total_R,avg_R,win_rate,pf
0,459,1409.943682596605,3.071772728968638,0.6470588235294118,3.6855543763581173
1,551,1796.8314528924286,3.2610371195869847,0.6896551724137931,4.395750003079374
2,357,610.5644680399804,1.7102646163584885,0.6050420168067226,2.2605524557998558
3,0,0.0,0.0,0.0,inf
ALL,1367,3817.339603529014,2.792494223503302,0.6532553035844916,3.4811858791974837
