cid,n,auc_v1,auc_v2,auc_v1v2,delta_v1_to_v1v2,verdict
0,783,0.7199591607943625,0.7105100896860985,0.737632126841768,0.017672966047405536,STRONG signal — RETRAIN WILL HELP
1,37,0.32919254658385094,0.4192546583850932,0.2795031055900621,-0.04968944099378886,NO signal — disable cluster
2,122,0.47092198581560285,0.5563120567375887,0.544113475177305,0.07319148936170217,weak — marginal gains
3,412,0.830166300754536,0.8231508819744113,0.8389229565700153,0.008756655815479242,STRONG signal — RETRAIN WILL HELP
