conf_R,conf_bars,train_pf,full_pf,test_pf,kept_full,kept_test
0.0,1,0.6373430035459559,0.7408075681998583,0.9311817518849217,122,49
0.0,2,0.6373430035459559,0.7408075681998583,0.9311817518849217,122,49
0.0,3,0.5985214523640685,0.7130337108231757,0.9311817518849217,122,49
0.0,4,0.5736333930988182,0.6956146311765018,0.9311817518849217,122,49
0.0,5,0.5736333930988182,0.6956146311765018,0.9311817518849217,122,49
0.1,1,1.1866372313231295,1.2462652052856285,1.3334748136043464,64,27
0.1,2,1.609940716580732,2.370272294872967,7.457950241429498,62,22
0.1,3,2.3095250732024586,2.7155374770753977,3.6649832120478756,57,22
0.1,4,2.192137920861545,3.274529479006715,12.49091255352103,56,21
0.1,5,1.7517094906380872,2.764164203334527,19.02243573708592,52,18
0.2,1,1.6066911476193755,1.4805794783537791,1.3473158365645168,56,25
0.2,2,2.185099901699734,2.96489652975373,6.668431619165881,56,20
0.2,3,2.4881545000552694,2.7946946557440113,3.460065179260954,55,21
0.2,4,2.108972706095162,3.125680221672618,11.782774660174157,54,20
0.2,5,1.9126040354111755,3.0912094532560137,19.02243573708592,48,18
0.3,1,1.571621005381659,1.4941397953514477,1.413269263627003,47,22
0.3,2,3.202269133826465,4.647842521698676,26.092990332884686,48,16
0.3,3,3.067304205875847,3.190066735021701,3.4062203508259596,53,20
0.3,4,2.1169092633962796,3.0960676757846115,11.074636766827636,51,19
0.3,5,2.299185002592599,3.503848861591003,17.049435060243297,45,16
0.4,1,1.243883704056857,1.3602768587914615,1.5102383862738336,40,19
0.4,2,3.42689355677731,4.918709077442843,25.599218615548114,46,15
0.4,3,2.718533084877077,3.484976854249847,5.771651150010642,49,19
0.4,4,1.9774317753107484,3.0995106645619876,17.77170043574886,48,18
0.4,5,2.299185002592599,3.503848861591003,17.049435060243297,45,16
0.5,1,1.5442198546048376,2.2350325823848287,4.297810200138628,31,14
0.5,2,3.2913383271086887,4.539236852555752,21.838411583344385,43,13
0.5,3,3.0930015247972906,3.7489349566268353,5.424428927788395,45,18
0.5,4,2.393435834834849,3.540534846590527,15.932841993938693,45,16
0.5,5,2.1981235805669166,3.4110412008356374,17.049435060243297,44,16
0.7,1,2.759697048746179,3.9563188481519984,11.28138578317559,19,7
0.7,2,6.661082749408687,7.550722945758285,13.162145536891918,33,8
0.7,3,2.549820711399688,4.174102064893322,17.75267649094365,40,17
0.7,4,3.688200143782758,5.413272958648074,15.913818049133546,38,15
0.7,5,2.8914038109393148,4.1896882817791665,14.777454412769925,39,14
1.0,1,45.57579617833474,10.544481959768579,,9,2
1.0,2,4.993243496416149,5.85374868408136,11.281401649477214,26,7
1.0,3,2.799119919154968,4.479660115673998,inf,27,9
1.0,4,5.290597487666645,8.568988147242377,inf,31,11
1.0,5,4.688689821257296,7.9397297920667285,inf,34,13
