cell,exit,confirm,n_full,WR_full,R_full,PF_full,n_train,PF_train,R_train,n_test,PF_test,R_test
"A. ML exit, no confirm",ML,False,122,0.38524590163934425,-38.39,0.6939816660023914,73,0.5152506872627308,-37.03,49,0.9722788422339993,-1.3599999999999988
B. ML exit + confirm,ML,True,71,0.4788732394366197,8.910000000000002,1.1579227224388513,42,0.8426757510065034,-5.079999999999998,29,1.5797762121840038,13.99
"C. Fixed SL/TP, no confirm",FIXED,False,122,0.5573770491803278,-45.28130941260915,0.7408075681998583,73,0.6373430035459559,-41.04797240977424,49,0.9311817518849217,-4.233337002834927
D. Fixed SL/TP + confirm,FIXED,True,71,0.7464788732394366,49.39639009591534,1.9334106541497662,42,2.011917906757054,30.454692327134193,29,1.8298914123953798,18.94169776878115
