feature,family,mi_logvol,mi_trend,mi_sign,xgb_logvol,xgb_trend,xgb_sign,combo_vol,combo_trend,combo_sign
bipower_var,jump/tail,0.354276103790343,0.01032108332197268,0.003261090194214722,0.47318903062896434,0.0864722567715086,0.07420544278991535,0.16763956612755876,0.0008924873671777566,0.0002419906418395545
ou_sigma2,SDE params,0.3525630075358164,0.014024691433153436,0.0046529452489962875,0.2024728986612054,0.08173863023415968,0.07181364067434595,0.07138445409648915,0.0011463590672027156,0.00033414493818882457
jump_fraction,jump/tail,0.06350414145441086,0.010157481528321632,0.0,0.034973420968378306,0.0684157273754416,0.09007259495650861,0.0022209570723205545,0.0006949314870627367,0.0
hawkes_eta,self-excitation,0.04397172480948619,0.0065988167393573605,0.0003867035703319921,0.045523950014502865,0.08002205984328567,0.07285410352166068,0.0020017666022785247,0.0005280509080117299,2.8172941945162742e-05
semivar_skew,jump/tail,0.06493750920223729,0.0037524700150477486,0.0,0.030735719041693983,0.0625073990103055,0.07810278137839347,0.0019959010381073827,0.0002345571405047967,0.0
sig_pp,path signature,0.04563464517996074,0.0,0.0001527198269020147,0.03720277131259092,0.10828212173564937,0.0415283400886979,0.001697735268561309,0.0,6.3422009098739405e-06
ou_kappa,SDE params,0.06917945086591892,0.007954881668757352,0.0028889841533255023,0.022633747374219068,0.08831849461101578,0.07519876527242357,0.0015657902143864095,0.0007025631737934144,0.0002172480412216758
sig_p,path signature,0.05675318875392765,0.0,0.0027705483483548843,0.024833937674243148,0.053266606377564855,0.0747401332705432,0.0014094051523295965,0.0,0.0002070711527885274
sig_tp,path signature,0.04995270499188287,0.0,0.0,0.02163727537502562,0.04848322260602647,0.05985412119483344,0.0010808404336367864,0.0,0.0
hurst_dfa,rough/fractal,0.022280298829982392,0.0,0.003123562971319549,0.02388179027648129,0.06428439578093817,0.06164483901862278,0.0005320934239549709,0.0,0.00019255153653152462
jump_intensity,jump/tail,0.02994373895636704,0.0,0.004827676186126784,0.016402494676248842,0.06659727025695938,0.07006852758226716,0.0004911520188187954,0.0,0.00033826816200587884
sig_pt,path signature,0.030221551358957655,0.005249152822440095,0.0054615757252447494,0.013541596990864518,0.04666980503316581,0.05237033383096625,0.00040924806894171846,0.0002449769388125713,0.00028602454397416916
hurst_rs,rough/fractal,0.01399572095459689,0.01164150183748891,0.007764503785407495,0.028245627899266046,0.06116750003410875,0.06924254000267298,0.00039531792626550436,0.0007120815640416799,0.0005376339639619843
perm_ent_5,information,0.0033223617877924383,0.0,0.0,0.011448830114331494,0.044821131714323004,0.05710061945251707,3.803715568678229e-05,0.0,0.0
perm_ent_3,information,0.0,0.0,0.0,0.01327690899198417,0.038953378615547346,0.05120321696563159,0.0,0.0,0.0
