weekly_return_pct,volatility_pct,trend_consistency,trend_strength,volatility,range_vs_atr,return_autocorr,start_idx,end_idx,center_time,cluster
-0.007310192558378172,0.0004533515746203671,0.5296167247386759,-16.124740362398192,0.000639898151954173,21.554312120614686,0.01981415770274385,0,288,2016-01-04 12:00:00,3
-0.006036365284500815,0.0003677416688952399,0.5226480836236934,-16.414644791247802,0.0005398088384098031,21.98445259032213,0.10472867339761746,288,576,2016-01-05 12:00:00,3
-0.0075615462837743935,0.0004703782539120775,0.5017421602787456,-16.075424715027474,0.0006578615270381206,15.993339937385356,-0.007518569773679426,576,864,2016-01-06 12:00:00,3
-0.0078196038440221,0.0006042257159523381,0.4808362369337979,-12.941506288243826,0.0007716249439507016,22.69794385570278,-0.1419991130466619,864,1152,2016-01-07 12:00:00,4
-0.010520638805906146,0.0005075214985533241,0.519163763066202,-20.72940379174298,0.0007462108461339619,24.93713024807746,0.1471953347815874,1152,1440,2016-01-08 12:00:00,3
0.0063370891500227275,0.0005911652312642219,0.5052264808362369,10.719639950459829,0.0007646985372603151,22.321346868608906,0.03216078033951218,1440,1728,2016-01-11 12:45:00,4
-0.0076545928237888765,0.0005121838454459158,0.5156794425087108,-14.944981078314946,0.0007304126224520866,20.331411930499627,0.07094388507385978,1728,2016,2016-01-12 12:45:00,3
-0.0012939442330342863,0.0004688815949974756,0.519163763066202,-2.7596337480627806,0.0006540625286108934,16.623885884718558,0.05851423609684292,2016,2304,2016-01-13 12:45:00,4
0.003865441302546766,0.0004930439707407772,0.5331010452961672,7.839936581726246,0.0007321896524565034,13.588674945112492,0.10395572892137836,2304,2592,2016-01-14 12:45:00,4
-0.021806450233492206,0.0005894926030608506,0.5331010452961672,-36.9918352298748,0.0008175554740748651,31.44863280899603,-0.02266366012365411,2592,2880,2016-01-15 12:45:00,3
0.0034945462557046765,0.0004191092967225495,0.5087108013937283,8.338010979525187,0.0005923732546457743,15.564553704390265,0.06152420785632628,2880,3168,2016-01-18 12:45:00,1
-0.004262754771427854,0.0005213708746855465,0.47038327526132406,-8.176035145737075,0.0007514541356124792,22.0004482510588,0.07066237764237834,3168,3456,2016-01-19 12:45:00,4
-0.004080335181616831,0.0007020104584065981,0.49477351916376305,-5.81234840650356,0.0009371888075440795,18.367320812390663,0.001690002305719506,3456,3744,2016-01-20 12:45:00,4
0.009119949447086582,0.0006810594911012415,0.47735191637630664,13.390806787720235,0.0009655702839659747,20.3110880062125,-0.01873575949808577,3744,4032,2016-01-21 12:45:00,4
0.011475169083953508,0.0004966451946766904,0.5296167247386759,23.10531965602531,0.0007769447764429009,25.05138821535531,-0.008139902483969579,4032,4320,2016-01-22 12:45:00,0
-0.005101265093865295,0.0005019508553505725,0.5331010452961672,-10.162857332806302,0.0006742497374871304,14.937781500303359,-0.014714814758760656,4320,4608,2016-01-25 12:45:00,3
0.008266770334243176,0.0005289212049528227,0.5121951219512195,15.629463571075696,0.000715873283435373,27.235327254089416,-0.06555461645873747,4608,4896,2016-01-26 12:45:00,0
-0.0055009877965838914,0.0006057924647620192,0.5087108013937283,-9.080632454073942,0.0007934599952740297,10.854751628393908,0.049260401286547816,4896,5184,2016-01-27 12:45:00,4
0.009265381919241268,0.0005593585457454395,0.47735191637630664,16.56426888521873,0.0007558889741139979,19.326034109660068,-0.07167126556211491,5184,5472,2016-01-28 12:45:00,4
0.010735419250816386,0.0005049765108246564,0.519163763066202,21.259202678718996,0.000703745483880138,21.279514358720313,-0.11368084933660308,5760,6048,2016-02-01 12:45:00,0
-0.010403880469882386,0.0005103254695965224,0.5087108013937283,-20.386715347350037,0.0007348201181660285,15.059198907005644,0.059960867481352494,6048,6336,2016-02-02 12:45:00,3
-0.003119382931202612,0.000701549271203037,0.4808362369337979,-4.446413976654034,0.000983379235627911,15.961615970710808,-0.09990091671647527,6336,6624,2016-02-03 12:45:00,4
-0.010176589248196567,0.0006047385491792146,0.5087108013937283,-16.828053104859418,0.0009059319773533432,15.710789927279174,-0.04891609169344583,6624,6912,2016-02-04 12:45:00,4
-0.00519111339602755,0.000485503327537859,0.5017421602787456,-10.692208290610456,0.0007280646762145563,12.497680662705983,-0.14339195448064207,6912,7200,2016-02-05 12:45:00,2
-0.015702646091709956,0.0005510869519931625,0.5087108013937283,-28.493901989540834,0.0007691907456537582,35.998210729553186,-0.013644021468519379,7200,7488,2016-02-08 12:45:00,3
