time,side,profit,flow_5m,flow_4h,agree_5m,agree_4h,both_agree,any_agree
2026-05-01 06:35:06,buy,-12.71,708.5100000000052,-185.15357142857118,True,False,False,True
2026-05-01 07:45:06,buy,-14.44,-793.2321428571186,-185.15357142857118,False,False,False,False
2026-05-01 12:50:06,sell,-14.68,-771.9332142857207,-3117.660000000005,True,True,False,True
2026-05-01 14:00:06,sell,-15.06,-187.55035714285512,-3117.660000000005,True,True,False,True
2026-05-01 14:05:06,sell,-13.77,-157.13678571428403,-3117.660000000005,True,True,False,True
2026-05-01 14:10:25,sell,-13.63,-291.74499999999483,-3117.660000000005,True,True,False,True
2026-05-01 14:30:07,sell,-15.56,346.37500000000045,-3117.660000000005,False,True,False,False
2026-05-01 18:20:06,buy,-29.13,878.1599999999962,-3482.6071428571536,True,False,False,True
2026-05-01 18:45:07,buy,-27.39,1181.1442857142872,-3482.6071428571536,True,False,False,True
2026-05-01 18:55:08,buy,-27.81,813.2928571428524,-3482.6071428571536,True,False,False,True
2026-05-01 19:40:07,buy,-25.38,12.541428571428437,-3482.6071428571536,True,False,False,True
